mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__alpha,param_model__fit_intercept,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.182220983505249,0.020867108202486696,0.026162147521972656,0.005762348314526769,0.1,True,"{'model__alpha': 0.1, 'model__fit_intercept': True}",-0.1330223281261051,-0.16344977649899722,-0.21417686058953495,-0.15789725394558954,-0.1435654643989837,-0.1624223367118421,0.028000017452241698,8
0.09751429557800292,0.005460406032009995,0.022020864486694335,0.002028985355871071,0.1,False,"{'model__alpha': 0.1, 'model__fit_intercept': False}",-0.15833449567549515,-0.16584312207315827,-0.19160026871592747,-0.1495186457693666,-0.14717738399154798,-0.16249478324509908,0.015991569739982933,9
0.1315129280090332,0.020149669726508883,0.022055816650390626,0.002504683124151381,1.0,True,"{'model__alpha': 1, 'model__fit_intercept': True}",-0.13391521107202609,-0.1548267075533798,-0.208256053166575,-0.13289656220794172,-0.1251351105634702,-0.15100592891267856,0.030270500878977816,6
0.10983271598815918,0.023479987373807854,0.02252049446105957,0.004364677380604232,1.0,False,"{'model__alpha': 1, 'model__fit_intercept': False}",-0.17652720396072508,-0.1706536453146281,-0.19459737706709934,-0.15665285915034977,-0.15197984027417583,-0.17008218515339563,0.015171691769415362,10
0.12903189659118652,0.023942242568659528,0.03351573944091797,0.012748647308808495,3.0,True,"{'model__alpha': 3, 'model__fit_intercept': True}",-0.13575248328561487,-0.15117133878993458,-0.20594819733298764,-0.12638578885431792,-0.11989598431639076,-0.14783075851584915,0.030902812937101554,4
0.09829859733581543,0.017722169646731727,0.023265361785888672,0.004455879597748602,3.0,False,"{'model__alpha': 3, 'model__fit_intercept': False}",-0.19423103754485338,-0.1771501134079249,-0.19628772949561643,-0.16973943244894862,-0.16326823391706552,-0.18013530936288177,0.013123064542387933,11
0.11605005264282227,0.013268388658668596,0.025729656219482422,0.0037030630061039315,10.0,True,"{'model__alpha': 10, 'model__fit_intercept': True}",-0.13466164307375622,-0.14826352492490727,-0.20502212461040742,-0.12024591152210092,-0.11896775266435738,-0.14543219135910584,0.03165342481463413,2
0.08418450355529786,0.006898124813073268,0.023045444488525392,0.006517628833044022,10.0,False,"{'model__alpha': 10, 'model__fit_intercept': False}",-0.2249232074616896,-0.20634028680185998,-0.23727048108408522,-0.20642484681732942,-0.1987208168614071,-0.21473592780527428,0.014195995152607978,12
0.08769989013671875,0.008682448689674637,0.023836946487426756,0.004924215508822226,30.0,True,"{'model__alpha': 30, 'model__fit_intercept': True}",-0.132080237182747,-0.14765816398147097,-0.20673014166431888,-0.11546275938638831,-0.12038388203272063,-0.14446303684952916,0.0330501337262769,1
0.07531819343566895,0.005007317800421254,0.020770978927612305,0.0009834289643263243,30.0,False,"{'model__alpha': 30, 'model__fit_intercept': False}",-0.275695629375079,-0.2561549312507029,-0.2990512628173626,-0.2731584304377148,-0.25865089579665484,-0.27254222993550287,0.01532687298673763,13
0.0758826732635498,0.010367373439364828,0.022766876220703124,0.006449876014266133,100.0,True,"{'model__alpha': 100, 'model__fit_intercept': True}",-0.13105564869900657,-0.1496745984593856,-0.21096080106797394,-0.11331195017486083,-0.12355576063887562,-0.1457117518080205,0.034723418702102,3
0.07064261436462402,0.0051950499096423694,0.024812936782836914,0.0037891591463595636,100.0,False,"{'model__alpha': 100, 'model__fit_intercept': False}",-0.3578015599506029,-0.3463715430006823,-0.40686654677625383,-0.381905200130161,-0.3629256264961913,-0.37117409527077827,0.0212185590608755,14
0.07519669532775879,0.006619035589201039,0.022682571411132814,0.0016427144367235915,300.0,True,"{'model__alpha': 300, 'model__fit_intercept': True}",-0.13275786598294825,-0.15386427602997416,-0.21577144653759608,-0.11674639894496014,-0.12721433253500836,-0.1492708640060974,0.03538484823426708,5
0.0683380126953125,0.008188413187191906,0.020002317428588868,0.0018850509337643099,300.0,False,"{'model__alpha': 300, 'model__fit_intercept': False}",-0.4576784845347748,-0.4587105119686356,-0.533281238545834,-0.489175297198508,-0.4817468722183356,-0.4841184808932176,0.027542007737886908,15
0.07003345489501953,0.007065862337977318,0.02127413749694824,0.001164428972959839,1000.0,True,"{'model__alpha': 1000, 'model__fit_intercept': True}",-0.14299226845986093,-0.16307748892758386,-0.22321189522661025,-0.13329857773414508,-0.13741484444312213,-0.15999901495826446,0.03321906912024213,7
0.05693874359130859,0.0034533486686653776,0.016654109954833983,0.002045845366228265,1000.0,False,"{'model__alpha': 1000, 'model__fit_intercept': False}",-0.6744875632566386,-0.6857524289291845,-0.7713019907780146,-0.7061345238821809,-0.7088935809383691,-0.7093140175568775,0.03352857035075994,16
