price_bin,count,mean_abs_error,median_abs_error,rmse
Q1 (bas),75,10365.308197519396,7556.9091001027555,14649.958368650192
Q2,71,12746.03395163977,9015.510337156913,18714.228336870237
Q3,73,15953.905153919624,13726.542491238884,19640.972381015425
Q4 (haut),73,27904.365119553113,19523.01847702486,41356.81790832165
