Stage,RMSE,MAE,R2,RMSE_gain
baseline_ridge_log1p,23879.545484278417,15754.377040396776,0.9256573088115325,-1894.8735607331146
tuned_ridge_log1p,25774.41904501153,16726.09676487633,0.9133908181785826,-1894.8735607331146
